driver,maneuver,window_start,window_end,SpeedLevel,SpeedTrend,BrakeUse,GasUse,SteerIntensity,SteerActivity,GearChange,RPMTrend,RPMLevel,Maneuver marker flag
Driver2,Overtaking,116.3,117.295,0.655784349026315,0.042110736957236626,0.0,0.6679145319675164,1.0,0.01123395425899258,0,0.06793535674001251,0.7277673965235357,1.0
Driver2,Overtaking,116.828,117.807,0.6787094547964112,0.04527754079696474,0.0,0.6855158770842915,1.0,0.0008051903810718312,0,0.0721393032922331,0.7644676494157104,1.0
Driver2,Overtaking,117.348,118.323,0.7029750652623998,0.04749691366573741,0.0,0.703327347876139,1.0,0.11288923986931139,0,0.07601981021369059,0.8033046247648743,1.0
Driver2,Overtaking,117.861,118.852,0.729024514657785,0.05092806537264917,0.0,0.7455930728829496,1.0,0.05383936451897617,0,0.08198760602112382,0.8449452401710046,1.0
Driver2,Overtaking,118.376,119.367,0.7587856692771626,0.06255119347235664,0.0,0.8235968594413509,1.0,0.1336925721187346,0,0.10309866286428422,0.894139764717495,1.0
Driver2,Overtaking,118.906,119.881,0.7860893569778258,0.030599363256180293,0.0,0.548940632661849,1.0,0.10900264783759928,0,0.15031363315148483,0.9593555440446533,1.0
Driver2,Overtaking,119.418,120.406,0.7914341224832717,-0.0014485490397574607,0.0,0.09425552336622894,1.0,0.06809278270698813,1,-0.5851572767728298,0.8402393804929746,1.0
Driver2,Overtaking,119.932,120.92,0.7827467218771567,-0.0298362058510165,0.0,0.0,0.33333333333333337,0.015948963317384372,1,-0.5291632922959422,0.542934713643408,1.0
Driver2,Overtaking,120.456,121.428,0.7619925285804303,-0.0382785499426115,0.0,0.3661654700634381,0.33333333333333337,0.02400086712810269,1,0.21394561028874484,0.42510995897905457,1.0
Driver2,Overtaking,120.97,121.945,0.7601636810994089,0.021592931362349625,0.0,0.6208461854671536,0.7491909385113269,0.061024140227001755,0,0.10477795920517906,0.5052394678968481,1.0
Driver2,Overtaking,121.478,122.451,0.7723272421760135,0.025584164791905836,0.0,0.684885988269285,1.0,0.030326256948638143,0,0.03020282883200365,0.5392132117732619,1.0
Driver2,Overtaking,121.995,122.961,0.7869655234494555,0.029345268577390272,0.0,0.6834914646208706,1.0,0.0008051903810718312,0,0.03322981623582548,0.5563540477848304,1.0
Driver2,Overtaking,122.502,123.48,0.8001912863444055,0.019552455129204165,0.0,0.515048103352149,1.0,0.11806103962465742,0,0.016634431881323967,0.5699148235624708,1.0
Driver2,Overtaking,123.011,123.998,0.8065202388453806,0.007092088239720531,0.0,0.5157936979873045,1.0,0.0466081355197349,0,0.008803199616484573,0.5755282988726452,1.0
Driver2,Overtaking,123.533,124.509,0.8127906802292435,0.016190047804350537,0.0,0.6010625407045265,0.8317152103559871,0.0,0,0.020922275629189368,0.5837543540969443,1.0
Driver2,Overtaking,124.049,125.021,0.8223084886128365,0.02004970531357058,0.0,0.64366298263241,0.8317152103559871,0.02619191403044239,0,0.02435954413130691,0.595489901981553,1.0
Driver2,Overtaking,124.56,125.54,0.8348516218081435,0.02790638311387472,0.0,0.7379368627025951,0.8317152103559871,0.046275220266022515,0,0.03566175472440548,0.6112885682311524,1.0
Driver2,Overtaking,125.072,126.056,0.8523246916914213,0.0383849128423836,0.0,0.8288847618852334,0.5,0.060900264783759935,0,0.047039084522818186,0.6330829342586345,0.95
Driver2,Overtaking,125.592,126.57,0.8741890959282265,0.044809562464761275,0.0,0.885787907814195,0.7491909385113269,0.08679797463650299,0,0.05370820495856715,0.6594292431361218,0.45
Driver2,Overtaking,142.37,143.368,0.6255971134515558,0.037580952991867866,0.0,0.5298627445811108,0.0825242718446602,0.007897059506666047,0,0.05032215874343261,0.6795217739766362,0.45
